14	17
56	17
2377	29
265	23
2	26
2378	31
11	17
256	17
2379	29
186	26
118	20
297	27
186	26
666	23
2380	25
1755	16
110	26
629	20
284	27
14	17
15	29
14	17
56	17
2377	29
265	23
2	26
2378	31
11	17
256	17
2379	29
186	26
118	20
297	27
186	26
666	23
2380	25
1755	16
110	26
629	20
284	27
14	17
15	29
186	26
186	26
812	16
467	23
467	23
2381	25
186	26
118	20
297	27
22	17
437	26
2382	31
699	16
376	23
720	25
1237	16
186	26
1900	31
2383	31
256	17
1542	29
186	26
1194	23
2384	25
1755	16
110	26
1929	31
171	20
949	17
2385	29
2386	26
118	20
297	27
108	26
994	23
1762	25
170	16
181	26
1714	20
284	27
14	17
15	29
15	29
55	10
