56	17
22	17
256	17
257	20
186	26
183	16
1612	20
14	17
15	29
118	20
257	20
1613	35
1614	13
11	17
656	20
14	17
56	17
22	17
256	17
257	20
186	26
183	16
1612	20
14	17
15	29
118	20
257	20
1613	35
1614	13
11	17
656	20
14	17
56	17
265	23
101	23
1615	24
1616	23
108	26
173	19
153	23
814	23
101	23
133	23
143	24
1132	23
141	26
1277	20
14	17
15	29
135	35
201	13
156	17
1617	35
154	37
1206	49
153	37
196	40
22	17
256	17
257	20
186	26
183	16
1612	20
14	17
15	29
27	20
894	20
1618	35
599	13
1373	17
160	35
154	37
1619	14
1620	35
1621	44
164	35
313	13
198	17
1622	20
25	17
28	29
55	10
