56	17
22	17
760	29
31	13
135	35
2565	36
462	37
198	17
1046	20
429	27
1	26
657	31
262	26
260	26
2566	20
1049	26
437	26
2567	31
189	20
190	17
629	20
470	27
14	17
15	29
14	17
256	17
2568	20
108	26
2569	20
2570	27
2571	26
22	17
2572	13
718	43
342	35
1488	36
671	20
16	20
2573	17
30	13
1220	17
2574	35
351	36
154	37
501	40
286	37
11	17
2575	29
490	17
114	20
1805	27
118	20
108	26
147	31
2576	26
256	17
1542	29
190	17
127	16
2577	28
2578	16
2579	26
962	20
2580	26
2581	20
2582	27
16	20
2	26
2157	31
437	26
227	16
2583	28
2584	16
2007	23
2585	25
2586	25
784	17
2024	29
2	26
1080	20
1081	17
13	13
14	17
1227	35
2587	36
154	37
501	40
286	37
11	17
2588	29
13	13
833	35
2589	36
253	37
221	20
2590	26
2591	31
16	20
661	27
260	26
170	16
449	28
108	26
171	20
594	17
2592	17
358	26
2593	20
1754	27
14	17
15	29
15	29
55	10
