2602	46
2603	48
2603	48
1220	17
2604	17
2605	37
2606	17
2607	20
110	26
2608	31
2609	31
2610	23
2611	24
929	23
2612	16
2613	28
186	26
2614	31
1900	31
1290	23
346	16
358	26
2615	20
2616	17
2617	20
2618	27
2619	27
84	26
2620	17
2621	16
2622	26
2623	20
14	17
1926	29
1304	29
1152	26
184	23
1290	23
2624	16
2625	26
2626	20
2627	27
187	27
2628	26
2629	17
2630	17
221	20
739	26
2631	16
1825	28
2632	26
2633	23
261	16
2634	20
2635	26
2636	16
2637	23
2638	25
2639	25
2629	17
2640	20
2641	26
2642	16
186	26
2643	20
55	10
