56	17
22	17
1277	20
108	26
147	31
147	31
186	26
425	16
110	26
159	20
1386	27
297	27
171	20
617	17
1223	20
1239	26
656	20
2074	17
254	29
16	20
1375	20
262	26
171	20
617	17
1220	17
13	13
2075	43
14	17
15	29
15	29
15	29
15	29
108	26
355	16
356	26
263	20
1386	27
297	27
736	20
617	17
1062	17
499	13
2076	43
1345	43
2077	13
11	17
2078	13
1613	35
600	35
204	15
2079	51
216	35
217	36
217	36
11	17
1220	17
13	13
415	17
1803	29
2080	29
108	26
1342	16
356	26
159	20
1386	27
297	27
189	20
190	17
2081	20
296	26
118	20
198	17
2082	29
113	20
148	20
141	26
1277	20
949	17
2083	17
13	13
2075	43
14	17
15	29
55	10
